material_type,weight_kg,quality,location,demand_level,historical_price,processing_cost,transportation_distance,month,seller_type,buyer_demand,material_condition,price_per_kg
Textile,109.0,Medium,Delhi,High,29.1,5.55,101.7,10,Individual,0.69,Mixed,23.3
Steel,791.4,Industrial Grade,Delhi,High,39.52,13.28,72.9,6,Individual,0.95,Baled,53.8
Glass,32.8,High,Coimbatore,High,7.78,13.3,138.4,1,Business,0.36,Clean,3.2
Glass,933.2,Medium,Chennai,High,8.52,6.1,95.4,6,Industrial Recycler,0.61,Contaminated,3.2
Glass,153.9,Medium,Kolkata,Moderate,7.89,3.98,135.6,3,Business,0.67,Sorted,3.2
Other,630.2,Industrial Grade,Mumbai,Low,14.07,5.24,128.0,12,Municipal Collector,0.96,Contaminated,6.0
E-waste,1726.2,High,Ahmedabad,High,121.65,11.97,74.1,7,Municipal Collector,0.99,Clean,174.33
Glass,46.5,Industrial Grade,Ahmedabad,Low,8.09,14.31,145.7,1,Individual,0.92,Baled,3.2
Copper,1012.6,Low,Surat,High,609.54,13.92,103.2,5,Individual,0.95,Clean,626.15
Plastic,118.8,Low,Pune,Low,35.68,8.43,147.6,10,Business,0.71,Sorted,18.14
Steel,272.5,Low,Kolkata,High,38.99,13.78,76.0,1,Industrial Recycler,0.47,Sorted,31.25
Paper,90.6,Low,Coimbatore,Moderate,11.92,11.88,113.7,5,Industrial Recycler,0.36,Mixed,4.8
Cardboard,1045.6,High,Surat,Low,13.93,4.6,48.9,1,Business,0.57,Contaminated,6.83
Paper,578.4,Industrial Grade,Delhi,Moderate,12.42,14.26,54.6,12,Municipal Collector,0.69,Sorted,9.3
E-waste,510.2,Low,Chennai,High,127.6,13.2,137.4,11,Municipal Collector,0.32,Sorted,114.04
Steel,444.0,High,Pune,High,43.87,12.42,27.3,2,Individual,0.9,Contaminated,35.9
Aluminum,189.6,High,Bengaluru,Low,178.87,13.33,95.8,10,Business,0.91,Sorted,176.68
Copper,203.2,High,Hyderabad,Low,672.7,4.41,139.4,12,Individual,0.36,Clean,768.37
Textile,223.3,Medium,Delhi,High,29.42,4.5,95.7,6,Business,0.8,Contaminated,17.87
E-waste,679.7,Medium,Ahmedabad,Moderate,129.1,3.03,78.6,3,Business,0.48,Mixed,118.45
Cardboard,785.7,Medium,Hyderabad,Low,13.39,11.83,128.0,3,Business,0.58,Clean,5.6
Other,188.3,Low,Hyderabad,Moderate,14.38,6.48,41.4,7,Industrial Recycler,0.3,Baled,9.08
Paper,222.1,Low,Chennai,High,12.23,11.53,54.9,8,Business,0.87,Contaminated,4.8
Copper,49.1,Industrial Grade,Pune,Low,670.6,13.89,116.9,10,Business,0.72,Clean,778.55
Copper,533.2,Low,Ahmedabad,Moderate,630.6,11.92,77.5,6,Industrial Recycler,1.0,Sorted,536.02
Plastic,576.6,Medium,Pune,High,37.37,8.0,72.4,7,Business,0.89,Baled,39.68
Textile,290.9,Industrial Grade,Bengaluru,Moderate,25.87,7.45,113.8,12,Individual,0.4,Mixed,23.54
Glass,715.0,Industrial Grade,Coimbatore,Moderate,7.58,10.6,119.7,7,Industrial Recycler,0.72,Contaminated,3.2
Steel,181.7,Medium,Ahmedabad,High,41.98,4.57,44.3,3,Municipal Collector,0.41,Clean,50.22
Cardboard,302.8,Low,Surat,High,14.79,7.66,77.4,12,Municipal Collector,0.64,Contaminated,5.6
Aluminum,1784.7,Low,Ahmedabad,High,192.77,5.06,47.0,10,Industrial Recycler,0.86,Clean,191.17
Textile,80.1,Industrial Grade,Pune,Moderate,28.5,10.04,50.0,11,Individual,0.72,Clean,33.78
Cardboard,629.6,Low,Bengaluru,Low,12.92,8.16,87.0,6,Industrial Recycler,0.56,Sorted,5.6
Plastic,294.7,Medium,Pune,Low,36.61,14.64,137.8,11,Individual,0.69,Sorted,23.18
Other,173.5,Low,Surat,High,15.75,9.92,107.7,4,Industrial Recycler,0.47,Contaminated,6.0
Other,134.9,Industrial Grade,Delhi,Moderate,14.98,3.06,95.4,3,Business,0.72,Clean,16.72
Paper,189.5,High,Mumbai,Moderate,11.15,13.02,25.7,12,Individual,0.47,Mixed,5.66
Aluminum,554.7,Low,Kolkata,Low,179.56,14.44,118.6,3,Municipal Collector,0.52,Sorted,131.76
Cardboard,60.1,Medium,Mumbai,Low,14.05,13.5,13.8,12,Business,0.65,Contaminated,5.6
Plastic,59.3,Industrial Grade,Mumbai,Low,32.36,5.85,34.6,5,Business,0.75,Mixed,28.79
Textile,68.3,High,Ahmedabad,Moderate,27.75,4.04,60.4,11,Individual,0.52,Sorted,29.46
Paper,477.0,Industrial Grade,Mumbai,High,11.07,6.2,90.0,3,Municipal Collector,0.34,Sorted,12.4
Glass,175.6,Industrial Grade,Delhi,High,7.77,7.65,8.7,9,Industrial Recycler,0.42,Sorted,8.07
Other,27.6,High,Kolkata,Moderate,14.99,11.28,109.8,1,Business,0.95,Sorted,10.51
Steel,490.8,Medium,Hyderabad,Low,40.91,14.64,114.4,2,Individual,0.59,Clean,33.32
Copper,207.6,Industrial Grade,Kolkata,Low,614.12,7.15,98.1,7,Business,0.88,Mixed,609.18
Plastic,1025.3,Industrial Grade,Hyderabad,High,32.34,10.89,13.2,4,Industrial Recycler,0.75,Contaminated,28.0
Plastic,1486.2,Industrial Grade,Hyderabad,High,33.99,3.79,143.4,3,Individual,0.57,Clean,50.47
Textile,462.9,High,Coimbatore,Moderate,26.06,7.39,108.6,11,Municipal Collector,0.44,Baled,26.67
Aluminum,623.9,Medium,Coimbatore,Low,176.2,9.56,106.8,6,Municipal Collector,0.93,Contaminated,101.85
Steel,27.8,Industrial Grade,Surat,High,41.25,6.87,43.5,5,Business,0.88,Contaminated,37.49
Other,457.2,Low,Mumbai,High,13.87,5.71,22.3,7,Industrial Recycler,0.72,Sorted,10.14
Cardboard,1600.1,Industrial Grade,Coimbatore,High,14.84,11.66,121.7,7,Business,0.44,Contaminated,6.25
Other,274.6,Low,Pune,Low,15.16,10.14,12.9,8,Industrial Recycler,0.92,Contaminated,6.0
Paper,578.1,Medium,Coimbatore,High,11.44,13.18,125.3,4,Industrial Recycler,0.96,Baled,5.7
Textile,1906.3,Low,Ahmedabad,Moderate,30.18,5.71,86.3,8,Individual,0.9,Mixed,16.89
Plastic,709.9,High,Coimbatore,High,33.74,2.15,12.3,10,Business,0.3,Baled,45.94
E-waste,1249.9,Industrial Grade,Coimbatore,High,118.52,4.48,36.2,6,Business,0.91,Baled,180.33
Copper,304.9,Low,Mumbai,Low,625.32,5.93,135.3,1,Business,0.95,Mixed,397.8
Plastic,662.7,High,Coimbatore,Moderate,37.07,5.05,17.5,2,Individual,0.71,Clean,47.16
Cardboard,495.0,Low,Chennai,High,13.77,4.8,105.3,12,Municipal Collector,0.56,Sorted,8.21
Aluminum,527.6,Industrial Grade,Bengaluru,Moderate,167.41,2.57,88.6,1,Municipal Collector,0.84,Mixed,195.91
Paper,67.9,Low,Coimbatore,High,11.49,13.34,44.4,11,Industrial Recycler,0.61,Mixed,4.8
Aluminum,131.1,High,Hyderabad,Moderate,176.08,2.61,128.0,12,Municipal Collector,0.72,Baled,216.13
E-waste,26.9,Industrial Grade,Pune,High,124.52,3.89,84.9,12,Industrial Recycler,0.54,Baled,181.24
Steel,162.8,Industrial Grade,Mumbai,Moderate,41.96,11.77,123.1,3,Industrial Recycler,0.68,Sorted,48.22
Glass,162.2,Industrial Grade,Bengaluru,Low,7.94,10.39,139.1,6,Industrial Recycler,0.68,Clean,3.2
Steel,52.3,High,Surat,Low,39.71,12.82,83.3,6,Individual,0.86,Sorted,35.53
Steel,486.6,Medium,Chennai,High,42.51,8.75,83.9,9,Municipal Collector,0.48,Mixed,36.44
Cardboard,578.7,Medium,Ahmedabad,Low,13.72,12.87,52.2,2,Industrial Recycler,0.96,Contaminated,5.6
Cardboard,885.8,Industrial Grade,Delhi,Low,14.31,3.38,114.0,12,Industrial Recycler,0.62,Contaminated,6.79
Plastic,1369.4,High,Bengaluru,High,36.43,5.99,105.8,2,Municipal Collector,0.51,Baled,47.81
Plastic,499.6,High,Coimbatore,High,36.55,4.41,22.6,5,Business,0.35,Contaminated,32.09
Paper,699.1,Industrial Grade,Delhi,Moderate,11.78,5.9,106.2,1,Industrial Recycler,0.45,Clean,11.49
Textile,55.5,Industrial Grade,Ahmedabad,Low,26.91,6.57,77.5,1,Business,0.63,Baled,28.12
Textile,251.9,High,Ahmedabad,Low,29.16,14.52,60.1,1,Industrial Recycler,0.36,Mixed,19.87
Paper,406.5,High,Ahmedabad,High,12.93,5.14,113.6,7,Business,0.32,Clean,13.2
Paper,176.6,Industrial Grade,Chennai,Low,12.34,9.71,104.2,1,Municipal Collector,0.32,Contaminated,4.8
Cardboard,569.0,Industrial Grade,Ahmedabad,Low,14.95,7.05,106.1,5,Individual,0.76,Clean,12.84
Aluminum,794.1,Low,Bengaluru,High,173.96,4.12,47.5,8,Municipal Collector,0.53,Baled,174.5
Copper,162.8,Medium,Ahmedabad,High,681.91,12.08,5.8,4,Municipal Collector,0.93,Clean,854.47
Textile,631.2,High,Pune,High,28.96,8.41,89.6,11,Individual,0.87,Sorted,32.86
Copper,543.9,High,Surat,High,680.61,8.45,8.4,10,Individual,0.6,Contaminated,585.19
Cardboard,1396.6,Low,Ahmedabad,High,13.83,9.24,45.4,1,Municipal Collector,0.35,Baled,9.01
Paper,31.1,Low,Bengaluru,Moderate,11.4,3.12,8.5,2,Individual,0.44,Mixed,6.32
Cardboard,199.1,Low,Chennai,Moderate,14.13,7.37,31.9,11,Municipal Collector,0.46,Baled,8.07
Steel,357.7,Low,Coimbatore,Low,39.4,12.25,13.7,6,Municipal Collector,0.77,Contaminated,16.8
Other,1329.4,High,Hyderabad,High,14.94,4.45,121.2,8,Industrial Recycler,0.64,Sorted,15.22
Copper,283.5,Medium,Bengaluru,Low,687.56,8.63,23.4,11,Business,0.35,Mixed,537.05
Cardboard,552.4,High,Delhi,High,13.47,4.93,57.4,11,Individual,0.34,Baled,15.11
Textile,107.5,High,Hyderabad,Moderate,27.78,6.86,110.3,11,Business,0.89,Sorted,26.75
Plastic,56.5,Medium,Bengaluru,Low,36.53,5.74,91.9,4,Municipal Collector,0.6,Mixed,24.72
Aluminum,1087.2,Industrial Grade,Bengaluru,Low,173.69,5.61,10.8,11,Business,0.76,Clean,209.29
Glass,861.3,Low,Mumbai,Low,8.48,7.02,79.2,8,Industrial Recycler,0.78,Baled,3.2
Cardboard,190.7,Medium,Ahmedabad,Moderate,13.02,10.01,82.2,6,Business,0.74,Mixed,5.6
Paper,205.4,Low,Pune,Low,11.71,9.36,136.5,6,Individual,0.51,Baled,4.8
Glass,403.5,Industrial Grade,Hyderabad,Moderate,8.35,3.81,134.1,10,Municipal Collector,0.51,Sorted,5.12
Glass,240.7,Low,Chennai,Moderate,7.68,5.79,109.8,12,Individual,0.72,Contaminated,3.2
Glass,798.6,Medium,Delhi,Moderate,7.95,14.12,109.0,8,Individual,0.54,Mixed,3.2
Paper,203.9,High,Kolkata,High,12.83,4.46,5.5,7,Municipal Collector,0.95,Sorted,15.08
E-waste,372.2,Low,Hyderabad,Low,129.25,7.56,12.4,5,Municipal Collector,0.72,Baled,95.35
E-waste,1436.1,Industrial Grade,Bengaluru,Moderate,129.49,11.88,22.8,3,Business,0.33,Mixed,154.11
Copper,369.7,Low,Bengaluru,Low,619.31,10.93,139.2,2,Industrial Recycler,0.92,Clean,466.86
Other,127.8,High,Surat,High,14.35,7.59,45.2,12,Industrial Recycler,0.73,Clean,16.15
Other,929.8,Low,Bengaluru,Moderate,14.33,6.12,85.3,1,Individual,0.86,Baled,8.3
Textile,998.7,Medium,Bengaluru,Low,30.12,9.98,87.8,2,Business,0.87,Baled,23.7
Copper,491.5,High,Hyderabad,Moderate,693.43,13.59,93.4,8,Individual,0.5,Contaminated,571.19
Aluminum,107.4,Medium,Ahmedabad,Moderate,177.37,13.01,38.7,4,Municipal Collector,0.61,Sorted,181.39
Steel,612.0,Industrial Grade,Kolkata,Moderate,41.57,10.75,34.7,5,Business,0.91,Baled,53.86
Glass,150.4,Low,Ahmedabad,Moderate,7.46,3.88,34.8,10,Municipal Collector,0.89,Clean,3.86
Textile,108.0,Medium,Pune,High,27.06,5.23,63.7,6,Individual,0.46,Mixed,24.29
Other,63.6,Industrial Grade,Chennai,Low,15.17,2.28,108.4,8,Individual,0.55,Clean,13.49
Aluminum,238.7,Industrial Grade,Delhi,Low,173.35,6.53,68.4,2,Municipal Collector,0.94,Mixed,175.6
Paper,75.7,Industrial Grade,Surat,High,11.42,8.9,80.0,11,Individual,0.33,Contaminated,5.04
Textile,487.9,Low,Bengaluru,High,26.88,9.19,94.2,2,Business,0.67,Clean,20.57
Paper,160.8,Industrial Grade,Delhi,Moderate,11.83,4.42,131.3,5,Individual,0.42,Contaminated,4.85
Copper,153.4,Medium,Surat,Low,688.15,13.33,118.5,11,Business,0.82,Clean,644.42
Paper,143.9,Industrial Grade,Coimbatore,High,12.52,3.0,92.4,4,Individual,0.49,Mixed,12.34
Steel,427.0,High,Bengaluru,Low,43.93,4.43,82.4,3,Industrial Recycler,0.53,Mixed,38.38
Steel,288.7,Low,Delhi,High,44.33,8.1,29.2,3,Business,0.47,Baled,42.01
Other,616.1,Low,Hyderabad,Moderate,14.4,3.43,30.4,8,Municipal Collector,0.75,Baled,9.52
Aluminum,625.6,High,Mumbai,High,187.32,8.37,81.7,8,Business,0.69,Mixed,212.44
Textile,285.5,Industrial Grade,Mumbai,Moderate,29.6,4.17,140.8,9,Municipal Collector,0.39,Baled,32.85
Aluminum,1042.1,Medium,Mumbai,Low,176.43,7.36,92.6,2,Industrial Recycler,0.56,Clean,178.61
Glass,81.3,Industrial Grade,Delhi,High,8.12,7.85,113.8,11,Individual,0.83,Contaminated,3.2
Steel,485.2,Low,Coimbatore,High,41.32,5.29,136.0,4,Individual,0.8,Mixed,28.65
Glass,97.1,Medium,Coimbatore,High,8.54,13.66,142.4,4,Municipal Collector,0.51,Mixed,3.2
Aluminum,608.9,Low,Chennai,Moderate,181.49,12.67,47.6,10,Municipal Collector,0.33,Mixed,123.07
E-waste,1150.1,High,Mumbai,Moderate,113.2,14.9,29.1,9,Individual,0.8,Sorted,128.3
Paper,134.3,High,Kolkata,Low,12.57,7.24,8.5,6,Individual,0.62,Clean,10.27
Other,29.1,Low,Kolkata,Moderate,14.97,7.7,22.9,10,Business,0.83,Sorted,8.3
Aluminum,806.9,High,Ahmedabad,Moderate,169.7,5.47,109.8,12,Industrial Recycler,0.94,Contaminated,135.92
Copper,431.3,Industrial Grade,Coimbatore,Moderate,618.23,14.4,48.9,1,Individual,0.7,Sorted,827.34
Textile,515.0,Medium,Hyderabad,Low,25.93,4.12,148.7,1,Industrial Recycler,0.81,Mixed,14.72
Copper,25.0,Medium,Chennai,High,633.64,12.55,102.1,2,Municipal Collector,0.81,Mixed,642.34
Glass,662.7,Industrial Grade,Pune,Low,8.28,10.87,27.6,9,Industrial Recycler,0.66,Sorted,4.6
Paper,881.3,Medium,Ahmedabad,High,12.0,8.61,52.6,5,Municipal Collector,0.81,Contaminated,4.92
Textile,946.8,High,Chennai,Moderate,26.74,12.98,85.5,3,Industrial Recycler,0.97,Baled,26.62
E-waste,804.0,Medium,Delhi,Low,116.14,9.37,63.0,12,Industrial Recycler,0.47,Clean,110.41
Other,320.1,Industrial Grade,Delhi,Moderate,14.94,4.0,123.2,7,Business,0.32,Clean,15.45
Glass,1090.9,High,Ahmedabad,High,8.45,7.27,90.3,7,Municipal Collector,0.5,Sorted,6.06
Other,334.0,Medium,Surat,High,14.0,3.31,128.7,7,Industrial Recycler,0.82,Sorted,11.32
Steel,833.6,Industrial Grade,Coimbatore,High,40.6,2.42,73.3,1,Individual,0.89,Mixed,50.08
Glass,1180.2,High,Pune,High,8.62,9.58,10.6,2,Industrial Recycler,0.73,Clean,8.87
Plastic,410.2,Medium,Mumbai,Moderate,32.6,12.88,47.3,10,Business,0.73,Mixed,23.37
Steel,1742.0,High,Bengaluru,Low,41.98,8.69,117.5,11,Industrial Recycler,0.46,Mixed,32.69
Paper,58.5,High,Ahmedabad,Moderate,11.6,8.62,57.0,8,Individual,0.79,Mixed,6.29
Textile,255.4,Industrial Grade,Hyderabad,Moderate,25.92,11.14,71.9,4,Industrial Recycler,0.34,Contaminated,16.87
Copper,2955.9,Medium,Bengaluru,Moderate,669.52,12.01,15.6,12,Individual,0.71,Clean,792.03
E-waste,429.4,Industrial Grade,Hyderabad,High,117.9,6.73,100.1,8,Industrial Recycler,0.54,Mixed,140.08
Aluminum,235.8,High,Ahmedabad,Moderate,186.02,7.17,100.5,8,Individual,0.53,Sorted,213.68
Steel,253.0,Low,Surat,Low,39.74,13.3,31.7,12,Industrial Recycler,0.48,Mixed,19.16
Copper,332.0,Industrial Grade,Bengaluru,High,626.9,8.44,79.4,4,Business,0.44,Sorted,951.41
Steel,661.4,Industrial Grade,Pune,High,41.88,2.04,59.1,10,Industrial Recycler,0.88,Clean,63.38
Cardboard,24.2,Medium,Kolkata,High,15.11,13.56,82.0,5,Industrial Recycler,0.73,Contaminated,5.6
Other,142.7,Medium,Ahmedabad,Low,16.19,5.77,90.7,12,Business,0.62,Mixed,7.81
Paper,22.7,Low,Ahmedabad,Moderate,12.21,13.88,139.7,7,Business,0.46,Clean,4.8
Glass,836.1,Medium,Coimbatore,Moderate,7.87,9.53,101.9,4,Industrial Recycler,0.3,Mixed,3.2
Plastic,54.4,High,Delhi,Moderate,36.69,14.46,67.4,1,Individual,0.49,Contaminated,22.91
Cardboard,747.3,Industrial Grade,Surat,Low,13.36,14.86,12.4,11,Industrial Recycler,0.76,Clean,10.55
Paper,716.7,High,Bengaluru,Moderate,11.86,2.18,100.1,9,Industrial Recycler,0.53,Contaminated,5.8
Plastic,832.3,Industrial Grade,Mumbai,High,34.53,10.73,100.3,3,Individual,0.93,Clean,48.69
Plastic,576.1,Medium,Mumbai,High,32.63,10.31,105.3,9,Industrial Recycler,0.41,Sorted,31.11
Copper,504.4,High,Bengaluru,High,650.05,6.39,115.9,2,Industrial Recycler,0.88,Contaminated,602.81
Cardboard,128.4,Industrial Grade,Surat,High,13.09,6.63,118.9,5,Municipal Collector,0.42,Baled,14.11
Plastic,1125.5,Low,Chennai,Low,36.77,4.08,26.1,3,Business,0.67,Clean,28.4
E-waste,730.9,Low,Delhi,Moderate,118.13,12.09,122.1,2,Municipal Collector,0.42,Clean,102.36
Other,474.6,Industrial Grade,Hyderabad,Low,15.14,12.15,140.4,11,Business,0.62,Baled,9.36
Glass,452.3,Low,Ahmedabad,High,8.62,6.62,5.5,4,Business,0.95,Contaminated,3.2
Glass,520.4,Industrial Grade,Chennai,Moderate,8.08,9.73,127.2,3,Municipal Collector,0.38,Clean,4.05
Steel,650.1,Industrial Grade,Chennai,Low,42.93,12.22,122.6,10,Industrial Recycler,0.47,Mixed,33.15
Cardboard,178.0,Industrial Grade,Coimbatore,High,14.44,14.98,101.4,5,Business,0.87,Sorted,12.55
Steel,158.2,Low,Kolkata,Moderate,40.65,6.01,15.9,6,Business,0.32,Sorted,30.69
Paper,141.0,Low,Bengaluru,Low,11.74,13.07,92.4,9,Business,0.37,Contaminated,4.8
Paper,373.7,Low,Surat,High,11.13,3.02,89.4,4,Individual,0.52,Sorted,7.06
Cardboard,124.1,High,Kolkata,Low,14.57,13.64,48.1,11,Industrial Recycler,0.33,Baled,8.91
Textile,261.3,High,Bengaluru,Moderate,25.78,14.28,18.7,2,Business,0.92,Sorted,25.93
Aluminum,882.5,Industrial Grade,Mumbai,Moderate,188.47,9.3,90.7,3,Business,0.36,Sorted,261.98
Steel,178.7,Medium,Coimbatore,Low,39.78,11.21,36.7,8,Business,0.97,Baled,32.11
Cardboard,609.4,Medium,Surat,High,14.11,4.44,117.6,12,Industrial Recycler,0.34,Mixed,9.39
Plastic,525.8,Industrial Grade,Pune,Low,37.3,9.68,63.7,3,Industrial Recycler,0.5,Contaminated,24.62
Plastic,216.2,High,Coimbatore,Moderate,33.62,4.49,63.8,2,Municipal Collector,0.39,Mixed,31.9
Steel,613.1,High,Hyderabad,High,43.24,11.51,113.0,4,Business,0.39,Contaminated,32.75
Plastic,143.4,Low,Hyderabad,Low,34.51,11.05,21.1,12,Business,0.54,Clean,20.77
E-waste,562.3,Medium,Pune,Low,120.36,6.92,146.7,6,Business,0.49,Contaminated,70.68
Plastic,863.5,Medium,Hyderabad,Moderate,34.94,10.61,129.4,11,Industrial Recycler,0.96,Contaminated,17.37
Textile,124.0,High,Ahmedabad,High,26.03,13.56,13.9,3,Municipal Collector,0.62,Sorted,30.98
Paper,66.3,Medium,Bengaluru,High,11.07,7.54,45.5,5,Industrial Recycler,0.85,Mixed,6.64
Cardboard,303.1,High,Mumbai,Moderate,14.82,4.61,37.5,11,Industrial Recycler,0.89,Baled,15.91
Textile,35.8,Low,Ahmedabad,Moderate,27.94,5.05,7.5,3,Individual,0.45,Contaminated,13.4
Cardboard,427.5,Medium,Kolkata,Moderate,14.35,5.53,105.0,5,Industrial Recycler,0.86,Clean,11.2
Textile,39.9,High,Hyderabad,Low,30.05,5.18,41.6,5,Business,0.95,Clean,29.4
Other,1161.0,Medium,Bengaluru,Low,15.13,10.97,52.5,1,Business,0.7,Mixed,7.07
Aluminum,1115.2,Industrial Grade,Mumbai,High,188.77,5.27,115.8,12,Business,0.71,Contaminated,189.58
Textile,2800.8,Low,Surat,Moderate,29.6,6.22,134.1,4,Municipal Collector,0.55,Clean,21.6
Plastic,892.7,Low,Kolkata,High,37.22,3.34,105.0,1,Municipal Collector,0.46,Mixed,26.81
Aluminum,449.8,Medium,Chennai,Moderate,186.29,9.13,148.5,11,Business,0.45,Mixed,163.67
Plastic,54.8,Medium,Mumbai,High,37.75,7.32,138.1,1,Business,0.75,Sorted,38.33
E-waste,841.7,Medium,Surat,Moderate,121.89,5.25,18.6,2,Individual,0.82,Clean,138.05
Plastic,996.0,High,Kolkata,Low,32.24,11.05,100.3,3,Industrial Recycler,0.89,Mixed,23.96
Plastic,89.7,Industrial Grade,Kolkata,High,32.2,9.48,38.3,10,Business,0.79,Sorted,40.72
Glass,31.3,Industrial Grade,Coimbatore,Low,7.39,10.15,19.1,12,Individual,0.49,Baled,4.16
Steel,437.6,Medium,Bengaluru,Low,40.62,4.57,125.0,4,Business,0.34,Contaminated,20.25
E-waste,207.5,Medium,Chennai,High,122.44,4.65,137.3,12,Business,0.92,Baled,141.12
Paper,27.2,Industrial Grade,Bengaluru,Low,11.11,4.23,59.8,8,Business,0.42,Contaminated,4.82
Textile,742.7,High,Chennai,High,28.89,7.65,65.2,3,Individual,0.42,Clean,39.36
Cardboard,39.9,Low,Ahmedabad,High,13.88,12.88,30.0,7,Individual,0.52,Mixed,5.6
Other,927.4,Medium,Mumbai,High,14.02,8.04,117.0,7,Municipal Collector,0.71,Clean,11.27
Steel,509.9,High,Kolkata,Low,43.43,10.45,62.2,8,Business,0.87,Contaminated,26.47
Aluminum,1019.1,Medium,Hyderabad,High,191.07,9.89,78.7,1,Individual,0.47,Baled,243.61
Cardboard,2357.8,High,Mumbai,Low,13.28,3.77,53.2,5,Business,0.6,Sorted,12.5
Plastic,726.8,Medium,Kolkata,Low,36.24,2.93,95.6,3,Business,0.68,Contaminated,20.98
Glass,266.5,Industrial Grade,Pune,Low,7.39,2.15,9.8,1,Industrial Recycler,0.77,Contaminated,4.64
Aluminum,150.0,High,Surat,Moderate,193.05,4.48,17.0,2,Individual,0.37,Clean,252.55
Cardboard,1343.5,Low,Bengaluru,Low,14.66,10.74,50.4,6,Business,0.65,Clean,6.1
Paper,229.2,Low,Kolkata,High,11.96,9.49,92.1,3,Business,0.64,Sorted,4.84
Copper,2736.6,Medium,Pune,Moderate,646.6,8.59,73.0,7,Business,0.33,Contaminated,467.67
Aluminum,2004.8,High,Pune,High,180.46,6.7,54.5,11,Municipal Collector,0.67,Sorted,252.63
Textile,647.8,Industrial Grade,Delhi,High,30.2,8.65,120.7,3,Individual,0.56,Baled,41.79
Aluminum,469.7,Low,Coimbatore,High,167.13,10.13,108.6,9,Municipal Collector,0.45,Sorted,149.07
Textile,581.6,Industrial Grade,Surat,Moderate,28.12,13.13,143.2,11,Business,0.39,Baled,28.62
Aluminum,585.9,Low,Mumbai,High,180.84,9.23,23.0,9,Municipal Collector,0.3,Clean,175.83
Paper,111.6,Medium,Hyderabad,Moderate,11.4,11.34,33.1,9,Municipal Collector,0.75,Baled,6.4
Textile,366.9,Low,Bengaluru,High,29.01,10.81,63.0,12,Business,0.67,Contaminated,13.02
Paper,543.0,Industrial Grade,Hyderabad,High,12.43,3.7,114.7,7,Business,0.89,Sorted,13.86
Textile,181.0,Medium,Chennai,Moderate,27.07,12.69,131.6,8,Industrial Recycler,0.99,Clean,20.5
Textile,477.3,Medium,Coimbatore,Moderate,28.79,4.98,63.5,3,Industrial Recycler,0.54,Sorted,27.51
Steel,118.8,Low,Chennai,Low,40.52,7.35,59.7,8,Business,0.5,Contaminated,16.8
Other,570.9,High,Pune,Low,14.23,8.51,85.6,4,Business,0.99,Contaminated,6.0
Glass,928.1,Medium,Pune,Low,8.63,10.31,47.0,1,Business,0.5,Mixed,3.2
Plastic,621.4,Medium,Kolkata,Moderate,32.88,13.49,90.1,5,Individual,0.81,Contaminated,16.94
Steel,930.6,High,Kolkata,High,42.3,12.24,109.6,8,Municipal Collector,0.72,Clean,51.63
Plastic,277.0,Medium,Ahmedabad,High,37.8,10.37,24.5,4,Individual,0.33,Baled,45.0
Textile,103.4,High,Pune,High,29.61,14.49,18.8,7,Municipal Collector,0.85,Clean,34.06
Cardboard,1291.1,High,Coimbatore,High,13.81,6.35,90.0,1,Individual,0.68,Clean,15.65
Other,457.6,High,Pune,Low,15.55,8.47,97.3,8,Municipal Collector,0.88,Contaminated,6.0
Other,46.7,High,Delhi,High,15.93,6.5,93.4,6,Individual,0.35,Mixed,13.15
Other,36.1,High,Chennai,Low,15.07,5.01,47.4,9,Industrial Recycler,0.54,Clean,12.32
Aluminum,486.8,Medium,Bengaluru,High,167.72,8.58,93.0,4,Individual,0.62,Mixed,171.46
Glass,1084.2,Low,Mumbai,High,7.74,13.14,105.8,1,Business,0.66,Mixed,3.2
Textile,138.6,High,Pune,Low,27.71,7.14,76.4,4,Business,0.85,Sorted,25.68
Aluminum,1013.9,High,Delhi,Low,190.8,14.27,141.1,1,Individual,0.34,Clean,213.72
Plastic,688.6,Low,Coimbatore,Moderate,33.99,7.92,27.3,7,Business,0.82,Mixed,21.08
Copper,188.8,Medium,Pune,Moderate,617.07,8.62,123.5,1,Industrial Recycler,0.7,Contaminated,439.87
E-waste,332.8,Industrial Grade,Surat,Low,115.98,12.81,147.7,4,Individual,0.97,Mixed,110.89
Copper,959.9,Medium,Kolkata,Low,622.69,6.45,118.1,8,Business,0.9,Sorted,573.94
Cardboard,54.7,Medium,Hyderabad,High,13.0,11.41,59.3,11,Individual,0.77,Mixed,6.29
E-waste,1871.3,High,Surat,High,115.89,12.44,107.6,10,Industrial Recycler,0.43,Baled,157.63
Aluminum,1410.0,Industrial Grade,Delhi,Low,183.63,10.11,107.4,10,Individual,0.84,Sorted,209.92
Other,64.5,Industrial Grade,Chennai,Low,14.68,8.96,47.9,9,Municipal Collector,0.57,Sorted,11.1
Other,138.4,Medium,Mumbai,Moderate,15.17,13.54,117.0,1,Business,0.85,Contaminated,6.0
Plastic,150.3,Medium,Hyderabad,High,34.61,12.09,118.2,5,Individual,0.69,Contaminated,18.14
Aluminum,73.2,Industrial Grade,Kolkata,Low,178.77,10.32,27.5,8,Business,0.59,Baled,199.96
Aluminum,111.7,Industrial Grade,Mumbai,Low,180.58,11.42,141.7,9,Individual,0.45,Contaminated,120.19
